x,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA],
0,0,6,7800,5,2,1,585,0.48,0.32159,17.16,55.21930927,
1,1,6,7800,5,3,1,585,0.48,0.32159,18.58428979,59.64768801,
2,2,6,7800,5,4,1,585,0.48,0.32159,19.56,62.68326712,
3,3,6,7800,5,5,1,585,0.48,0.32159,21.01318189,67.20044804,
4,4,6,7800,5,6,1,585,0.48,0.32158,22.88443736,73.02142225,
5,5,6,7800,5,7,1,585,0.48,0.32158,25.02609446,79.68121796,
6,6,6,7800,5,8,1,585,0.48,0.32158,27.05911476,86.00319165,
7,7,6,7800,5,9,1,585,0.48,0.32158,29.1924017,92.6369591,
8,8,6,7800,5,10,1,585,0.48,0.32158,31.4236608,99.57538532,
9,9,6,7800,5,11,1,585,0.48,0.32159,33.28754165,105.3681764,
10,10,6,7800,5,12,1,585,0.48,0.32158,35.14000308,111.1318947,
11,11,6,7800,5,13,1,585,0.48,0.32158,35.94371193,113.6311448,
12,12,6,7800,5,14,1,585,0.48,0.32158,36.06944722,114.022137,
13,13,7,7800,5,2,1,341.25,0.82,0.64313,34.33,55.24436388,
14,14,7,7800,5,3,1,341.25,0.82,0.64312,37.16952098,59.65454323,
15,15,7,7800,5,4,1,341.25,0.82,0.64313,39.14459671,62.7246811,
16,16,7,7800,5,5,1,341.25,0.82,0.64313,42.01,67.18600035,
17,17,7,7800,5,6,1,341.25,0.82,0.64313,45.7422256,72.98330515,
18,18,7,7800,5,7,1,341.25,0.82,0.64313,50.09024165,79.74401613,
19,19,7,7800,5,8,1,341.25,0.82,0.64313,54.26249151,86.23142904,
20,20,7,7800,5,9,1,341.25,0.82,0.64313,58.41108498,92.68205872,
21,21,7,7800,5,10,1,341.25,0.82,0.64313,62.88091168,99.63217254,
22,22,7,7800,5,11,1,341.25,0.82,0.64312,66.60217645,105.419961,
23,23,7,7800,5,12,1,341.25,0.82,0.64313,70.38417359,111.2989614,
24,24,7,7800,5,13,1,341.25,0.82,0.64312,71.88596293,113.635825,
25,25,7,7800,5,14,1,341.25,0.82,0.64312,72.12921042,114.0140554,
26,26,8,7800,5,2,1,195,1.44,1.12236,59.97,55.28720292,
27,27,8,7800,5,3,1,195,1.44,1.12237,64.94,59.71659297,
28,28,8,7800,5,4,1,195,1.44,1.12237,68.52853205,62.91590873,
29,29,8,7800,5,5,1,195,1.44,1.12237,73.5594198,67.39828776,
30,30,8,7800,5,6,1,195,1.44,1.12236,80.08,73.20540459,
31,31,8,7800,5,7,1,195,1.44,1.12237,87.62,79.92364726,
32,32,8,7800,5,8,1,195,1.44,1.12237,94.59043728,86.1363309,
33,33,8,7800,5,9,1,195,1.44,1.12237,102.0056233,92.74305238,
34,34,8,7800,5,10,1,195,1.44,1.12237,109.7356926,99.63032602,
35,35,8,7800,5,11,1,195,1.44,1.12236,116.233425,105.4205449,
36,36,8,7800,5,12,1,195,1.44,1.12236,122.7715574,111.2458883,
37,37,8,7800,5,13,1,195,1.44,1.12237,125.5313752,113.7038335,
38,38,8,7800,5,14,1,195,1.44,1.12237,125.9999824,114.1213493,
39,39,9,7800,5,2,1,109.69,2.56,2.24469,119.9984093,55.31770945,
40,40,9,7800,5,3,1,109.69,2.56,2.2447,129.924523,59.7394937,
41,41,9,7800,5,4,1,109.69,2.56,2.24469,137.2256561,62.99237581,
42,42,9,7800,5,5,1,109.69,2.56,2.24469,147.3563831,67.50557226,
43,43,9,7800,5,6,1,109.69,2.56,2.24469,160.0050328,73.14049279,
44,44,9,7800,5,7,1,109.69,2.56,2.24469,174.9228455,79.7863159,
45,45,9,7800,5,8,1,109.69,2.56,2.24469,189.0535258,86.08147481,
46,46,9,7800,5,9,1,109.69,2.56,2.2447,204.2190671,92.83725468,
47,47,9,7800,5,10,1,109.69,2.56,2.24469,219.8679688,99.8091802,
48,48,9,7800,5,11,1,109.69,2.56,2.24469,232.7534395,105.5496035,
49,49,9,7800,5,12,1,109.69,2.56,2.24469,245.5636036,111.256478,
